;;;"Палитра-Трейд";;;"В начало";;
;;"Прайс-лист на 25.03.09";;;"www.palitra-trade.com";;;
;;"г.Перми т/ф (342)294-60-82, 294-64-14, 296-23-53, 296-26-15";;;;;;
;;"Код ";"Наименование товара";"Артикул";"Цена";;;"Заказ"
"*";0;37536;"Бордюр АЛИКАНТЕ-3 ""В"" розовый с люстром и платиной Люкс 200х58";"                         ";40.8;;;
"*";0;56760;"Бордюр АЛИКАНТЕ-3 ""С"" бирюзовый с платиной узкий 200х35";"                         ";31.2;;;
"*";0;56762;"Бордюр АЛИКАНТЕ-3 ""С"" розовый с платиной узкий 200х35";"                         ";31.2;;;
"*";0;29950;"Бордюр АЛТАЙ ""В"" кофейный 200х58";"                         ";27.6;;;
"*";0;29975;"Бордюр АЛТАЙ ""С"" кофейный 200х35";"                         ";20.4;;;
"*";0;51299;"Бордюр АМЕЛИ ""G"" желтый с металлизацией 350х75мм";"                         ";67.2;;;
"*";0;58521;"Бордюр АМЕЛИ ""В"" широкий желтый с металлизацией 250х65мм";"                         ";40.8;;;
"*";0;51300;"Бордюр АМЕЛИ ""С"" желтый с металлизацией 250х35мм";"                         ";31.2;;;
"*";0;57660;"Бордюр БЕРГАМО В-1 зеленый с золотом 200х60";"                         ";40.8;;;
"*";0;33161;"Бордюр ВЕРОНА-1 ""В"" зеленый с платиной 200х58";"                         ";40.8;;;
"*";0;34703;"Бордюр ВЕРОНА-1 ""В"" синий с платиной 200х58";"                         ";40.8;;;
"*";0;33160;"Бордюр ВЕРОНА-1 ""С"" зеленый с платиной 200х35";"                         ";31.2;;;
"*";0;48073;"Бордюр ВЕРОНА-1 ""С"" синий с платиной 200х35";"                         ";31.2;;;
"*";0;38994;"Бордюр ВЕРОНА-2 ""В"" зеленый с платиной 200х58";"                         ";40.8;;;
"*";0;30699;"Бордюр ВЕРОНА-2 ""В"" синий с платиной 200х58";"                         ";40.8;;;
"*";0;44952;"Бордюр ДЖОВАНИ ""С"" узкий кофейный с платиной 200х35 !!!!!!";"                         ";20.4;;;
"*";0;37835;"Бордюр КАМЕЛИЯ ""В"" 200х75";"                         ";27.6;;;
"*";0;55754;"Бордюр КАМЕЛИЯ ""В3"" 200х58 с платиной 1/30";"                         ";40.8;;;
"*";0;34701;"Бордюр КАМЕЛИЯ ""С"" 200х35";"                         ";20.4;;;
"*";0;55755;"Бордюр КАМЕЛИЯ ""С3"" 200х35 с платиной";"                         ";31.2;;;
"*";0;42396;"Бордюр ЛЕОПАРД ""В"" 200х58мм";"                         ";27.6;;;
"*";0;29941;"Бордюр ОСЕННИЙ ""В"" корич. 200х58";"                         ";27.6;;;
"*";0;48071;"Бордюр ПОЗИТАНО ""В"" голубой с платиной 200х70";"                         ";40.8;;;
"*";0;31137;"Бордюр ПОЗИТАНО ""В"" кофейный 200х70";"                         ";27.6;;;
"*";0;48072;"Бордюр ПОЗИТАНО ""С"" голубой с платиной 200х35";"                         ";31.2;;;
"*";0;31138;"Бордюр ПОЗИТАНО ""С"" кофейный 200х35";"                         ";20.4;;;
"*";0;29374;"Бордюр ТОЛЕДО ""В"" голубой 200х58";"                         ";27.6;;;
"*";0;48064;"Бордюр ТОЛЕДО ""В"" голубой с золотом 200х58";"                         ";40.8;;;
"*";0;29375;"Бордюр ТОЛЕДО ""В"" кофейный 200х58";"                         ";27.6;;;
"*";0;58520;"Бордюр ТОЛЕДО ""В"" кофейный с золотом 200х58";"                         ";40.8;;;
"*";0;29934;"Бордюр ТОЛЕДО ""С"" голубой 200х35";"                         ";21;;;
"*";0;50065;"Бордюр ТОЛЕДО ""С"" кофейный 200х35";"                         ";20.4;;;
"*";0;30855;"Бордюр ТОЛЕДО ""С"" кофейный с золотом 200х35";"                         ";31.2;;;
"*";0;58524;"Бордюр ТОЛЕДО-1 ""С"" голубой с золотом 200х35";"                         ";31.2;;;
"*";0;55836;"Вставка ""АЛИКАНТЕ-2"" розовая с платиной  200х300";"                         ";100.8;;;
"*";0;37534;"Вставка ""АЛИКАНТЕ-3"" бирюзовая с платиной, люстром 200х300";"                         ";102;;;
"*";0;37535;"Вставка ""АЛИКАНТЕ-3"" розовая с платиной, люстром 200х300";"                         ";102;;;
"*";0;51297;"Вставка ""АМЕЛИ-1"" желтая с металлизацией 250х350";"                         ";108;;;
"*";0;51298;"Вставка ""АМЕЛИ-2"" желтая с металлизацией 250х350";"                         ";108;;;
"*";0;57658;"Вставка ""БЕРГАМО D-1"" зеленая с золотом  200х300";"                         ";102;;;
"*";0;33158;"Вставка ""ВЕРОНА -D1"" зеленая с платиной С1 200х300";"                         ";100.8;;;
"*";0;34702;"Вставка ""ВЕРОНА -D1"" синяя с платиной С1 200х300";"                         ";100.8;;;
"*";0;50066;"Вставка ""КАМЕЛИЯ"" 200х300";"                         ";61.2;;;
"*";0;42394;"Вставка ""ЛЕОПАРД"" 200х300";"                         ";61.2;;;
"*";0;29940;"Вставка ""ОСЕННЯЯ"" кофейная  200х300";"                         ";61.2;;;
"*";0;29946;"Вставка ""ПОЗИТАНО"" голубая к плитке Альтамира 200х300";"                         ";61.2;;;
"*";0;31136;"Вставка ""ПОЗИТАНО"" кофейная к плитке Альтамира 200х300";"                         ";61.2;;;
"*";0;48066;"Вставка ""ТОЛЕДО-1"" кофейная верх 200х300";"                         ";61.2;;;
"*";0;29935;"Вставка ""ТОЛЕДО"" голубая 200х300";"                         ";61.2;;;
"*";0;58522;"Вставка ""ТОЛЕДО"" голубая с золотом 200х300";"                         ";102;;;
"*";0;30696;"Вставка ""ТОЛЕДО"" кофейная 200х300";"                         ";61.2;;;
"*";0;58523;"Вставка ""ТОЛЕДО"" кофейная с золотом 200х300";"                         ";102;;;
"*";0;37533;"Плитка для пола АЛИКАНТЕ 327х327 бирюзовая (1кор.-  1,39кв.м) 1/13";"                         ";34.7;;;
"*";0;37537;"Плитка для пола АЛИКАНТЕ 327х327 розовая (1кор.- 1,39кв.м) 1/13";"                         ";34.7;;;
"*";0;31135;"Плитка для пола АЛЬТАМИРА S-4 327х327 кофейная Люкс (1кор.- 1,39кв.м) 1/13";"                         ";34.7;;;
"*";0;49188;"Плитка для пола АМЕЛИ желтая  (1кор.- 1,39кв.м) 1/13";"                         ";37.6;;;
"*";0;33384;"Плитка для пола ВЕРОНА S-4 327х327 зеленая (1кор.- 1,39кв.м) 1/13";"                         ";34.7;;;
"*";0;37529;"Плитка для пола ВЕРОНА S-4 327х327 синяя (1кор.- 1,39кв.м) 1/13";"                         ";34.7;;;
"*";0;50367;"Плитка для пола ЛЕОПАРД S-2 327х327 белая Люкс (1кор.- 1,39кв.м) 1/13";"                         ";37.6;;;
"*";0;55885;"Плитка для пола МОНТЕ327х327 серая (1кор.- 1,28кв.м) 1/12";"                         ";34.7;;;
"*";0;58519;"Плитка для пола ПАРКЕТ с металлизацией 327х327 ДУБ (1кор.-  1,39кв.м) 1/13";"                         ";34.8;;;
"*";0;55883;"Плитка для пола ПАРКЕТ с металлизацией 327х327 Ольха (1кор.-  1,39кв.м) 1/13";"                         ";34.8;;;
"*";0;55884;"Плитка для пола ПАРКЕТ с металлизацией 327х327 Орех (1кор.-  1,39кв.м) 1/13";"                         ";34.8;;;
"*";0;58518;"Плитка для пола РИДЖИНА 327х327 бежевая (1кор.- 1,28кв.м) 1/12";"                         ";34.7;;;
"*";0;36260;"Плитка для пола ТОЛЕДО S-4 327х327 голубая Люкс (1кор.- 1,39кв.м) 1/13";"                         ";34.8;;;
"*";0;36261;"Плитка для пола ТОЛЕДО S-4 327х327 кофейная (1кор.- 1,39кв.м) 1/13";"                         ";34.8;;;
"*";0;29958;"Плитка для пола ФОРЛИ 327х327 бежевая (1кор.- 1,28кв.м) 1/12";"                         ";34.7;;;
"*";0;37530;"Плитка обл. АЛИКАНТЕ 200х300 бирюзовая светлая (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;37531;"Плитка обл. АЛИКАНТЕ 200х300 бирюзовая темная низ (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;37538;"Плитка обл. АЛИКАНТЕ 200х300 розовая верх Люкс (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;37539;"Плитка обл. АЛИКАНТЕ 200х300 розовая темная низ Люкс (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;29349;"Плитка обл. АЛТАЙ Sakmi 200х300 светло-коф.  (1кор.- 1,26кв.м ) 1/21";"                         ";13.2;;;
"*";0;29350;"Плитка обл. АЛТАЙ Sakmi 200х300 темно-коф. (1кор.- 1,26кв.м ) 1/21";"                         ";13.2;;;
"*";0;29944;"Плитка обл. АЛЬТАМИРА Sakmi 200х300 голубая светл. верх  (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;29945;"Плитка обл. АЛЬТАМИРА Sakmi 200х300 голубая темная НИЗ (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;31133;"Плитка обл. АЛЬТАМИРА Sakmi 200х300 кофейная светл. верх  (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;31134;"Плитка обл. АЛЬТАМИРА Sakmi 200х300 кофейная темная НИЗ  (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;49186;"Плитка обл. АМЕЛИ 250х350мм желтая светлая верх  (1кор.- 1,58кв.м ) 1/18";"                         ";24.5;;;
"*";0;49187;"Плитка обл. АМЕЛИ 250х350мм желтая темная Низ  (1кор.- 1,58кв.м ) 1/18";"                         ";24.4;;;
"*";0;57656;"Плитка обл. БЕРГАМО 200х300 зеленая светлая (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;58021;"Плитка обл. БЕРГАМО 200х300 синяя светлая (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;58313;"Плитка обл. БЕРГАМО 200х300 синяя темная (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
"*";0;33153;"Плитка обл. ВЕРОНА 200х300 зеленая св. верх (1кор.- 1,26кв.м ) 1/21";"                         ";14.8;;;
